child_category_uri,parent_category_uri
http://data.europa.eu/esco/skill/28d2ab6c-38a2-476e-85fe-7982fd242943,http://data.europa.eu/esco/skill/243eb885-07c7-4b77-ab9c-827551d83dc4
http://data.europa.eu/esco/skill/048812ba-45ff-4801-b04f-b20c03432809,http://data.europa.eu/esco/skill/c73521be-c039-4e22-b037-3b01b3f6f9d9
http://data.europa.eu/esco/skill/c5b71c57-6f78-4c54-b332-ec75848f1095,http://data.europa.eu/esco/skill/0a2d70ee-d435-4965-9e96-702b2fb65740
http://data.europa.eu/esco/skill/325a3d29-a235-4182-9128-782c0f4b2dcc,http://data.europa.eu/esco/skill/0a2d70ee-d435-4965-9e96-702b2fb65740
http://data.europa.eu/esco/isced-f/042,http://data.europa.eu/esco/isced-f/04
http://data.europa.eu/esco/skill/dddd229b-61e1-480d-80d6-d9d9ee9b5f54,http://data.europa.eu/esco/skill/0a2d70ee-d435-4965-9e96-702b2fb65740
http://data.europa.eu/esco/skill/be7443ff-0747-43b8-8720-8e87fd34e692,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8
http://data.europa.eu/esco/skill/d6e4373a-ef2c-4b64-9dc6-4140846f6609,http://data.europa.eu/esco/skill/243eb885-07c7-4b77-ab9c-827551d83dc4
http://data.europa.eu/esco/skill/ce17a874-b476-491d-a7a7-5f05d32ad542,http://data.europa.eu/esco/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2
http://data.europa.eu/esco/skill/c85f95ae-34fb-487b-b3d5-10803eee619d,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8
http://data.europa.eu/esco/skill/f5328159-dfe9-4f25-b8e7-a03fb0d3a991,http://data.europa.eu/esco/skill/243eb885-07c7-4b77-ab9c-827551d83dc4
http://data.europa.eu/esco/skill/24ad2ffb-dece-4704-8155-63ea9428d038,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8
http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524,http://data.europa.eu/esco/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2
http://data.europa.eu/esco/skill/18da3b88-1cd5-4ef3-83d6-664e52afdaba,http://data.europa.eu/esco/skill/2ae39fc8-0f1b-4284-9e73-3f2739471f63
http://data.europa.eu/esco/isced-f/021,http://data.europa.eu/esco/isced-f/02
http://data.europa.eu/esco/skill/c1a13ee0-b00d-4cfa-a22c-20d284e398b0,http://data.europa.eu/esco/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2
http://data.europa.eu/esco/isced-f/091,http://data.europa.eu/esco/isced-f/09
http://data.europa.eu/esco/isced-f/102,http://data.europa.eu/esco/isced-f/10
